Income,Limit,Rating,Cards,Age,Education,Own,Student,Married,Region,Balance,Balance_level
14.891,3606,283,2,34,11,0,0,1,South,333,Low
106.025,6645,483,3,82,15,1,1,1,West,903,High
104.593,7075,514,4,71,11,0,0,0,West,580,High
148.924,9504,681,3,36,11,1,0,0,West,964,High
55.882,4897,357,2,68,16,0,0,1,South,331,Low
80.18,8047,569,4,77,10,0,0,0,South,1151,High
20.996,3388,259,2,37,12,1,0,0,East,203,Low
71.408,7114,512,2,87,9,0,0,0,West,872,High
15.125,3300,266,5,66,13,1,0,0,South,279,Low
71.061,6819,491,3,41,19,1,1,1,East,1350,High
63.095,8117,589,4,30,14,0,0,1,South,1407,High
15.045,1311,138,3,64,16,0,0,0,South,0,Low
80.616,5308,394,1,57,7,1,0,1,West,204,Low
43.682,6922,511,1,49,9,0,0,1,South,1081,High
19.144,3291,269,2,75,13,1,0,0,East,148,Low
20.089,2525,200,3,57,15,1,0,1,East,0,Low
53.598,3714,286,3,73,17,1,0,1,East,0,Low
36.496,4378,339,3,69,15,1,,1,West,368,Low
49.57,6384,448,1,28,9,1,0,1,West,891,High
42.079,6626,479,2,44,9,0,0,0,West,1048,High
17.7,2860,235,4,63,16,1,0,0,West,89,Low
37.348,6378,458,1,72,17,1,0,0,South,968,High
20.103,2631,213,3,61,10,0,0,1,East,0,Low
64.027,5179,398,5,48,8,0,0,1,East,411,Low
10.742,1757,156,3,57,15,1,0,0,South,0,Low
14.09,4323,326,5,25,16,1,0,1,East,671,High
42.471,3625,289,6,44,12,1,1,0,South,654,High
32.793,4534,333,2,44,16,0,0,0,East,467,High
186.634,13414,949,2,41,14,1,0,1,East,1809,High
26.813,5611,411,4,55,16,1,0,0,South,915,High
34.142,5666,413,4,47,5,1,0,1,South,863,High
28.941,2733,210,5,43,16,0,0,1,West,0,Low
134.181,7838,563,2,48,13,1,0,0,South,526,High
31.367,1829,162,4,30,10,0,0,1,South,0,Low
20.15,2646,199,2,25,14,1,0,1,West,0,Low
23.35,2558,220,3,49,12,1,1,0,South,419,Low
62.413,6457,455,2,71,11,1,0,1,South,762,High
30.007,6481,462,2,69,9,1,0,1,South,1093,High
11.795,3899,300,4,25,10,1,0,0,South,531,High
13.647,3461,264,4,47,14,0,0,1,South,344,Low
34.95,3327,253,3,54,14,1,0,0,East,50,Low
113.659,7659,538,2,66,15,0,1,1,East,1155,High
44.158,4763,351,2,66,13,1,0,1,West,385,Low
36.929,6257,445,1,24,14,1,0,1,West,976,High
31.861,6375,469,3,25,16,1,0,1,South,1120,High
77.38,7569,564,3,50,12,1,0,1,South,997,High
19.531,5043,376,2,64,16,1,1,1,West,1241,High
44.646,4431,320,2,49,15,0,1,1,South,797,High
44.522,2252,205,6,72,15,0,0,1,West,0,Low
43.479,4569,354,4,49,13,0,1,1,East,902,High
36.362,5183,376,3,49,15,0,0,1,East,654,High
39.705,3969,301,2,27,20,0,0,1,East,211,Low
44.205,5441,394,1,32,12,0,0,1,South,607,High
16.304,5466,413,4,66,10,0,0,1,West,957,High
15.333,1499,138,2,47,9,1,0,1,West,0,Low
32.916,1786,154,2,60,8,1,0,1,West,0,Low
57.1,4742,372,7,79,18,1,0,1,West,379,Low
76.273,4779,367,4,65,14,1,0,1,South,133,Low
10.354,3480,281,2,70,17,0,0,1,South,333,Low
51.872,5294,390,4,81,17,1,,0,South,531,High
35.51,5198,364,2,35,20,1,0,0,West,631,High
21.238,3089,254,3,59,10,1,0,0,South,108,Low
30.682,1671,160,2,77,7,1,0,0,South,0,Low
14.132,2998,251,4,75,17,0,0,0,South,133,Low
32.164,2937,223,2,79,15,1,0,1,East,0,Low
12.0,4160,320,4,28,14,1,0,1,South,602,High
113.829,9704,694,4,38,13,1,0,1,West,1388,High
11.187,5099,380,4,69,16,1,0,0,East,889,High
27.847,5619,418,2,78,15,1,0,1,South,822,High
49.502,6819,505,4,55,14,0,0,1,South,1084,High
24.889,3954,318,4,75,12,0,0,1,South,357,Low
58.781,7402,538,2,81,12,1,0,1,West,1103,High
22.939,4923,355,1,47,18,1,0,1,West,663,High
23.989,4523,338,4,31,15,0,0,0,South,601,High
16.103,5390,418,4,45,10,1,0,1,South,945,High
33.017,3180,224,2,28,16,0,0,1,East,29,Low
30.622,3293,251,1,68,16,0,1,0,South,532,High
20.936,3254,253,1,30,15,1,0,0,West,145,Low
110.968,6662,468,3,45,11,1,0,1,South,391,Low
15.354,2101,171,2,65,14,0,0,0,West,0,Low
27.369,3449,288,3,40,9,1,0,1,South,162,Low
53.48,4263,317,1,83,15,0,0,0,South,99,Low
23.672,4433,,3,63,11,0,0,0,South,503,High
19.225,1433,122,3,38,14,1,0,0,South,0,Low
43.54,2906,232,4,69,11,0,0,0,South,0,Low
152.298,12066,828,4,41,12,1,0,1,West,1779,High
55.367,6340,448,1,33,15,0,0,1,South,815,High
11.741,2271,182,4,59,12,1,0,0,West,0,Low
15.56,4307,352,4,57,8,0,0,1,East,579,High
59.53,7518,543,3,52,9,1,0,0,East,1176,High
20.191,5767,431,4,42,16,0,0,1,East,1023,High
48.498,6040,456,3,47,16,0,0,1,South,812,High
30.733,2832,249,4,51,13,0,,0,South,0,Low
16.479,5435,388,2,26,16,0,0,0,East,937,High
,3075,245,3,45,15,1,0,0,East,0,Low
14.084,855,120,5,46,17,1,0,1,East,0,Low
14.312,5382,367,1,59,17,0,1,0,West,1380,High
26.067,3388,266,4,74,17,1,0,1,East,155,Low
36.295,2963,241,2,68,14,1,1,0,East,375,Low
83.851,8494,607,5,47,18,0,0,0,South,1311,High
21.153,3736,256,1,41,11,0,0,0,South,298,Low
17.976,2433,190,3,70,16,1,1,0,South,431,Low
68.713,7582,531,2,56,16,0,1,0,South,1587,High
146.183,9540,682,6,66,15,0,0,0,South,1050,High
15.846,4768,365,4,53,12,1,0,0,South,745,High
12.031,3182,259,2,58,18,1,0,1,South,210,Low
16.819,1337,115,2,74,15,0,0,1,West,0,Low
39.11,3189,263,3,72,12,0,0,0,West,0,Low
107.986,6033,449,4,64,14,0,0,1,South,227,Low
13.561,3261,279,5,37,19,0,0,1,West,297,Low
34.537,3271,250,3,57,17,1,0,1,West,47,Low
28.575,2959,231,2,60,11,1,0,0,East,0,Low
46.007,6637,491,4,42,14,0,0,1,South,1046,High
69.251,6386,474,4,30,12,1,0,1,West,768,High
16.482,3326,268,4,41,15,0,0,0,South,271,Low
40.442,4828,369,5,81,8,1,0,0,East,510,High
35.177,2117,186,3,62,16,1,0,0,South,0,Low
91.362,9113,626,1,47,17,0,0,1,West,1341,High
27.039,2161,173,3,40,17,1,0,0,South,0,Low
23.012,1410,137,3,81,16,0,0,0,South,0,Low
27.241,1402,128,2,67,15,1,0,1,West,0,Low
148.08,8157,599,2,83,13,0,0,1,South,454,Low
62.602,7056,481,1,84,11,1,0,0,South,904,High
11.808,1300,117,3,77,14,1,0,0,East,0,Low
29.564,2529,192,1,30,12,1,0,1,South,0,Low
27.578,2531,195,1,34,15,1,0,1,South,0,Low
26.427,5533,433,5,50,15,1,1,1,West,1404,High
57.202,3411,259,3,72,11,1,0,0,South,0,Low
123.299,8376,610,2,89,17,0,1,0,East,1259,High
18.145,3461,279,3,56,15,0,0,1,East,255,Low
23.793,3821,281,4,56,12,1,1,1,East,868,High
10.726,1568,162,5,46,19,0,0,1,West,0,Low
23.283,5443,407,4,49,13,0,0,1,East,912,High
21.455,5829,427,4,80,12,1,0,1,East,1018,High
34.664,5835,452,3,77,15,1,0,1,East,835,High
44.473,3500,257,3,81,16,1,0,0,East,8,Low
54.663,4116,314,2,70,8,1,0,0,East,75,Low
36.355,3613,278,4,35,9,0,0,1,West,187,Low
21.374,2073,175,2,74,11,1,0,1,South,0,Low
107.841,10384,728,3,87,7,0,0,0,East,1597,High
39.831,6045,459,3,32,12,1,1,1,East,1425,High
91.876,6754,483,2,33,10,0,0,1,South,605,High
103.893,7416,549,3,84,17,0,0,0,West,669,High
19.636,4896,387,3,64,10,1,0,0,East,710,High
17.392,2748,228,3,32,14,0,0,1,South,68,Low
19.529,4673,341,2,51,14,0,0,0,West,642,High
17.055,5110,371,3,55,15,1,0,1,South,805,High
23.857,1501,150,3,56,16,0,0,1,South,0,Low
15.184,2420,192,2,69,11,1,0,1,South,0,Low
13.444,886,121,5,44,10,0,0,1,West,0,Low
63.931,5728,435,3,28,14,1,0,1,East,581,High
35.864,4831,353,3,66,13,1,0,1,South,534,High
41.419,2120,184,4,24,11,1,1,0,South,156,Low
92.112,4612,,3,32,17,0,0,0,South,0,Low
55.056,3155,235,2,31,16,0,0,1,East,0,Low
19.537,1362,143,4,34,9,1,0,1,West,0,Low
31.811,4284,338,5,75,13,1,0,1,South,429,Low
56.256,5521,406,2,72,16,1,1,1,South,1020,High
42.357,5550,406,2,83,12,1,0,1,West,653,High
53.319,3000,235,3,53,13,0,0,0,West,0,Low
12.238,4865,381,5,67,11,1,0,0,South,836,High
31.353,1705,160,3,81,14,0,0,1,South,0,Low
63.809,7530,515,1,56,12,0,0,1,South,1086,High
13.676,2330,203,5,80,16,1,0,0,East,0,Low
76.782,5977,429,4,44,12,0,0,1,West,548,High
25.383,4527,367,4,46,11,0,0,1,South,570,High
35.691,2880,214,2,35,15,0,0,0,East,0,Low
29.403,2327,178,1,37,14,1,0,1,South,0,Low
27.47,2820,219,1,32,11,1,0,1,West,0,Low
27.33,6179,459,4,36,12,1,0,1,South,1099,High
34.772,2021,167,3,57,9,0,0,0,West,0,Low
36.934,4270,299,1,63,9,1,0,1,South,283,Low
76.348,4697,344,4,60,18,0,0,0,West,108,Low
14.887,4745,339,3,58,12,0,0,1,East,724,High
121.834,10673,750,3,54,16,0,0,0,East,1573,High
30.132,2168,206,3,52,17,0,0,0,South,0,Low
24.05,2607,221,4,32,18,0,0,1,South,0,Low
22.379,3965,292,2,34,14,1,0,1,West,384,Low
28.316,4391,316,2,29,10,1,0,0,South,453,Low
58.026,7499,560,5,67,11,1,0,0,South,1237,High
10.635,3584,294,5,69,16,0,0,1,West,423,Low
46.102,5180,382,3,81,12,0,0,1,East,516,High
58.929,6420,459,2,66,9,1,0,1,East,789,High
80.861,4090,335,3,29,15,1,0,1,West,0,Low
158.889,11589,805,1,62,17,1,0,1,South,1448,High
30.42,4442,316,1,30,14,1,0,0,East,450,Low
36.472,3806,309,2,52,13,0,0,0,East,188,Low
23.365,2179,167,2,75,15,0,0,0,West,0,Low
83.869,7667,554,2,83,11,0,0,0,East,930,High
58.351,4411,326,2,85,16,1,0,1,South,126,Low
55.187,5352,385,4,50,17,1,0,1,South,538,High
124.29,9560,701,3,52,17,1,1,0,West,1687,High
28.508,3933,287,4,56,14,0,0,1,West,336,Low
130.209,10088,730,7,39,19,1,0,1,South,1426,High
30.406,2120,181,2,79,14,0,0,1,East,0,Low
23.883,5384,398,2,73,16,1,0,1,East,802,High
93.039,7398,517,1,67,12,0,0,1,East,749,High
50.699,3977,304,2,84,17,1,0,0,East,69,Low
27.349,2000,169,4,51,16,1,0,1,East,0,Low
27.349,2000,169,4,51,16,1,0,1,East,0,Low
10.403,4159,310,3,43,7,0,0,1,West,571,High
23.949,5343,383,2,40,18,0,0,1,East,829,High
73.914,7333,529,6,67,15,1,0,1,South,1048,High
21.038,1448,145,2,58,13,1,0,1,South,0,Low
68.206,6784,499,5,40,16,1,1,0,East,1411,High
57.337,5310,392,2,45,7,1,0,0,South,456,Low
10.793,3878,321,8,29,13,0,0,0,South,638,High
23.45,2450,180,2,78,13,0,0,0,South,0,Low
10.842,4391,358,5,37,10,1,1,1,South,1216,High
51.345,4327,320,3,46,15,0,0,0,East,230,Low
151.947,9156,642,2,91,11,1,0,1,East,732,High
24.543,3206,243,2,62,12,1,0,1,South,95,Low
29.567,5309,397,3,25,15,0,0,0,South,799,High
39.145,4351,323,2,66,13,0,0,1,South,308,Low
39.422,5245,383,2,44,19,0,0,0,East,637,High
34.909,5289,410,2,62,16,1,0,1,South,681,High
41.025,4229,337,3,79,19,1,0,1,South,246,Low
15.476,2762,215,3,60,18,0,0,0,West,52,Low
12.456,5395,392,3,65,14,0,0,1,South,955,High
10.627,1647,149,2,71,10,1,1,1,West,195,Low
,5222,370,4,76,13,1,0,0,South,653,High
44.847,5765,437,3,53,13,1,1,0,West,1246,High
98.515,8760,633,5,78,11,1,0,0,East,1230,High
33.437,6207,451,4,44,9,0,1,0,South,1549,High
27.512,4613,344,5,72,17,0,0,1,West,573,High
121.709,7818,584,4,50,6,0,0,1,South,701,High
15.079,5673,411,4,28,15,1,0,1,West,1075,High
59.879,6906,527,6,78,15,1,0,0,South,1032,High
66.989,5614,430,3,47,14,1,0,1,South,482,High
69.165,4668,341,2,34,11,1,0,0,East,156,Low
69.943,7555,547,3,76,9,0,0,1,West,1058,High
33.214,5137,387,3,59,9,0,0,0,East,661,High
25.124,4776,378,4,29,12,0,,1,South,657,High
15.741,4788,360,1,39,14,0,0,1,West,689,High
11.603,2278,187,3,71,11,0,0,1,South,0,Low
69.656,8244,579,3,41,14,0,0,1,East,1329,High
10.503,2923,232,3,25,18,1,0,1,East,191,Low
42.529,4986,369,2,37,11,0,0,1,West,489,High
60.579,5149,388,5,38,15,0,0,1,West,443,Low
26.532,2910,236,6,58,19,1,0,1,South,52,Low
27.952,3557,263,1,35,13,1,0,1,West,163,Low
29.705,3351,262,5,71,14,1,0,1,West,148,Low
15.602,906,103,2,36,11,0,0,1,East,0,Low
20.918,1233,128,3,47,18,1,1,1,West,16,Low
58.165,6617,460,1,56,12,1,0,1,South,856,High
22.561,1787,147,4,66,15,1,0,0,South,0,Low
34.509,2001,189,5,80,18,1,0,1,East,0,Low
19.588,3211,265,4,59,14,1,0,0,West,199,Low
36.364,2220,188,3,50,19,0,0,0,South,0,Low
15.717,905,93,1,38,16,0,1,1,South,0,Low
22.574,1551,134,3,43,13,1,1,1,South,98,Low
10.363,2430,191,2,47,18,1,0,1,West,0,Low
28.474,3202,267,5,66,12,0,0,1,South,132,Low
72.945,8603,621,3,64,8,1,0,0,South,1355,High
85.425,5182,402,6,60,12,0,0,1,East,218,Low
36.508,6386,469,4,79,6,1,0,1,South,1048,High
58.063,4221,304,3,50,8,0,0,0,East,118,Low
25.936,1774,135,2,71,14,1,0,0,West,0,Low
15.629,2493,186,1,60,14,0,0,1,West,0,Low
41.4,2561,215,2,36,14,0,0,1,South,0,Low
33.657,6196,450,6,55,9,1,0,0,South,1092,High
67.937,5184,383,4,63,12,0,0,1,West,345,Low
180.379,9310,665,3,67,8,1,1,1,West,1050,High
10.588,4049,296,1,66,13,1,0,1,South,465,High
29.725,3536,270,2,52,15,1,0,0,East,133,Low
27.999,5107,380,1,55,10,0,0,1,South,651,High
40.885,5013,379,3,46,13,1,0,1,East,549,High
88.83,4952,360,4,86,16,1,0,1,South,15,Low
29.638,5833,433,3,29,15,1,0,1,West,942,High
25.988,1349,142,4,82,12,0,0,0,South,0,Low
39.055,5565,410,4,48,18,1,0,1,South,772,High
15.866,3085,217,1,39,13,0,0,0,South,136,Low
44.978,4866,347,1,30,10,1,0,0,South,436,Low
30.413,3690,299,2,25,15,1,1,0,West,728,High
16.751,4706,353,6,48,14,0,1,0,West,1255,High
30.55,5869,439,5,81,9,1,0,0,East,967,High
163.329,8732,636,3,50,14,0,0,1,South,529,High
23.106,3476,257,2,50,15,1,0,0,South,209,Low
41.532,5000,353,2,50,12,0,0,1,South,531,High
128.04,6982,518,2,78,11,1,0,1,South,250,Low
54.319,3063,248,3,59,8,1,1,0,South,269,Low
53.401,5319,377,3,35,12,1,0,0,East,541,High
36.142,1852,183,3,33,13,1,0,0,East,0,Low
63.534,8100,581,2,50,17,1,0,1,South,1298,High
49.927,6396,485,3,75,17,1,0,1,South,890,High
14.711,2047,167,2,67,6,0,0,1,South,0,Low
18.967,1626,156,2,41,11,1,0,1,West,0,Low
18.036,1552,142,2,48,15,1,0,0,South,0,Low
60.449,3098,272,4,69,8,0,0,1,South,0,Low
16.711,5274,387,3,42,16,1,0,1,West,863,High
10.852,3907,296,2,30,9,0,0,0,South,485,High
26.37,3235,268,5,78,11,0,0,1,West,159,Low
24.088,3665,287,4,,13,1,0,1,South,309,Low
51.532,5096,380,2,31,15,0,0,1,South,481,High
140.672,11200,817,7,46,9,0,0,1,East,1677,High
42.915,2532,205,4,42,13,0,0,1,West,0,Low
27.272,1389,149,5,67,10,1,0,1,South,0,Low
65.896,5140,370,1,49,17,1,0,1,South,293,Low
55.054,4381,321,3,74,17,0,0,1,West,188,Low
20.791,2672,204,1,70,18,1,0,0,East,0,Low
24.919,5051,372,3,76,11,1,0,1,East,711,High
21.786,4632,355,1,50,17,0,0,1,South,580,High
31.335,3526,289,3,38,7,1,0,0,South,172,Low
59.855,4964,365,1,46,13,1,0,1,South,295,Low
44.061,4970,352,1,79,11,0,0,1,East,414,Low
82.706,7506,536,2,64,13,1,0,1,West,905,High
24.46,1924,165,2,50,14,1,0,1,West,0,Low
45.12,3762,287,3,80,8,0,0,1,South,70,Low
75.406,3874,298,3,41,14,1,0,1,West,0,Low
14.956,4640,332,2,33,6,0,0,0,West,681,High
75.257,7010,494,3,34,18,1,0,1,South,885,High
33.694,4891,369,1,52,16,0,1,0,East,1036,High
23.375,5429,396,3,57,15,1,0,1,South,844,High
27.825,5227,386,6,63,11,0,0,1,South,823,High
92.386,7685,534,2,75,18,1,0,1,West,843,High
115.52,9272,656,2,69,14,0,0,0,East,1140,High
14.479,3907,296,3,43,16,0,0,1,South,463,High
52.179,7306,522,2,57,14,0,0,0,West,1142,High
68.462,4712,340,2,71,16,0,0,1,South,136,Low
18.951,1485,129,3,82,13,1,0,0,South,0,Low
27.59,2586,229,5,54,16,0,0,1,East,0,Low
16.279,1160,126,3,78,13,0,1,1,East,5,Low
25.078,3096,236,2,27,15,1,0,1,South,81,Low
27.229,3484,282,6,51,11,0,0,0,South,265,Low
182.728,13913,982,4,98,17,0,0,1,South,1999,High
182.728,13913,982,4,98,17,0,0,1,South,1999,High
31.029,2863,223,2,66,17,0,1,1,West,415,Low
17.765,5072,364,1,66,12,1,0,1,South,732,High
125.48,10230,721,3,82,16,0,0,1,South,1361,High
49.166,6662,508,3,68,14,1,0,0,West,984,High
41.192,3673,297,3,54,16,1,0,1,South,121,Low
94.193,7576,527,2,44,16,1,0,1,South,846,High
20.405,4543,329,2,72,17,0,1,0,West,1054,High
12.581,3976,291,2,48,16,0,0,1,South,474,High
62.328,5228,377,3,83,15,0,0,0,South,380,Low
21.011,3402,261,2,68,17,0,0,1,East,182,Low
24.23,4756,351,2,64,15,1,0,1,South,594,High
24.314,3409,270,2,23,7,1,0,1,South,194,Low
32.856,5884,438,4,68,13,0,0,0,South,926,High
12.414,855,119,3,32,12,0,0,1,East,0,Low
41.365,5303,377,1,45,14,0,0,0,South,606,High
149.316,10278,707,1,80,16,0,0,0,East,1107,High
27.794,3807,301,4,35,8,1,0,1,East,320,Low
13.234,3922,299,2,77,17,1,0,1,South,426,Low
14.595,2955,260,5,37,9,0,0,1,East,204,Low
10.735,3746,280,2,44,17,1,0,1,South,410,Low
48.218,5199,401,7,39,10,0,0,1,West,633,High
30.012,1511,137,2,33,17,0,0,1,South,0,Low
21.551,5380,420,5,51,18,0,0,1,West,907,High
160.231,10748,754,2,69,17,0,0,0,South,1192,High
13.433,1134,112,3,70,14,0,0,1,South,0,Low
48.577,5145,389,3,71,13,1,0,1,West,503,High
30.002,1561,155,4,70,13,1,0,1,South,0,Low
61.62,5140,374,1,71,9,0,0,1,South,302,Low
104.483,7140,507,2,41,14,0,0,1,East,583,High
41.868,4716,342,2,47,18,0,0,0,South,425,Low
12.068,3873,292,1,44,18,1,0,1,West,413,Low
180.682,11966,832,2,58,8,1,0,1,East,1405,High
34.48,6090,442,3,36,14,0,0,0,South,962,High
39.609,2539,188,1,40,14,0,0,1,West,0,Low
30.111,4336,339,1,81,18,0,0,1,South,347,Low
12.335,4471,344,3,79,12,0,0,1,East,611,High
53.566,5891,434,4,82,10,1,0,0,South,712,High
53.217,4943,362,2,46,16,1,0,1,West,382,Low
26.162,5101,382,3,62,19,1,0,0,East,710,High
64.173,6127,433,1,80,10,0,0,1,South,578,High
128.669,9824,685,3,67,16,0,0,1,West,1243,High
113.772,6442,489,4,69,15,0,1,1,South,790,High
61.069,7871,564,3,,14,0,0,1,South,1264,High
23.793,3615,263,2,70,14,0,0,0,East,216,Low
89.0,5759,440,3,37,6,1,0,0,South,345,Low
71.682,8028,599,3,57,16,0,0,1,South,1208,High
35.61,6135,466,4,40,12,0,0,0,South,992,High
39.116,2150,173,4,75,15,0,0,0,South,0,Low
19.782,3782,293,2,46,16,1,1,0,South,840,High
55.412,5354,383,2,37,16,1,1,1,South,1003,High
29.4,4840,368,3,76,18,1,0,1,South,588,High
20.974,5673,413,5,44,16,1,0,1,South,1000,High
87.625,7167,515,2,46,10,1,0,0,East,767,High
28.144,1567,142,3,51,10,0,0,1,South,0,Low
19.349,4941,366,1,33,19,0,0,1,South,717,High
53.308,2860,214,1,84,10,0,0,1,South,0,Low
115.123,7760,538,3,83,14,1,0,0,East,661,High
101.788,8029,574,2,84,11,0,0,1,South,849,High
24.824,5495,409,1,33,9,0,1,0,South,1352,High
14.292,3274,282,9,64,9,0,0,1,South,382,Low
20.088,1870,180,3,76,16,0,0,0,East,0,Low
26.4,5640,398,3,58,15,1,0,0,West,905,High
19.253,3683,287,4,57,10,0,0,0,East,371,Low
16.529,1357,126,3,62,9,0,0,0,West,0,Low
37.878,6827,482,2,80,13,1,0,0,South,1129,High
83.948,7100,503,2,44,18,0,0,0,South,806,High
135.118,10578,747,3,81,15,1,0,1,West,1393,High
73.327,6555,472,2,43,15,1,0,0,South,721,High
25.974,2308,196,2,24,10,0,0,0,West,0,Low
17.316,1335,138,2,65,13,0,0,0,East,0,Low
49.794,5758,410,4,40,8,0,0,0,South,734,High
12.096,4100,307,3,32,13,0,0,1,South,560,High
13.364,3838,296,5,65,17,0,0,0,East,480,High
57.872,4171,321,5,67,12,1,0,1,South,138,Low
37.728,2525,192,1,44,13,0,0,1,South,0,Low
18.701,5524,415,5,64,7,1,0,0,West,966,High
